Course Name                                                  | Programme Name                 | Lecturer Name                  | Room Name                      | Enrolled Students   
Mechatronics                                                 | Mechanical Engineering         | Sarah Martinez                 | Room 138                       | 0                   
Automotive Engineering                                       | Mechanical Engineering         | Daniel Anderson                | Room 139                       | 0                   
Aerospace Structures                                         | Mechanical Engineering         | Amanda White                   | Room 140                       | 0                   
General Physics                                              | Physics                        | john doe                       | Room 141                       | 0                   
Classical Mechanics                                          | Physics                        | Jane Smith                     | Room 142                       | 0                   
Electromagnetism                                             | Physics                        | Michael Johnson                | Room 143                       | 0                   
Quantum Mechanics                                            | Physics                        | Emily Brown                    | Room 144                       | 0                   
Statistical Mechanics                                        | Physics                        | David Wilson                   | Room 145                       | 0                   
Solid State Physics                                          | Physics                        | Jennifer Lee                   | Room 146                       | 0                   
Nuclear Physics                                              | Physics                        | Christopher Taylor             | Room 147                       | 0                   
Particle Physics                                             | Physics                        | Sarah Martinez                 | Room 148                       | 0                   
Astrophysics                                                 | Physics                        | Daniel Anderson                | Room 149                       | 0                   
Cosmology                                                    | Physics                        | Amanda White                   | Room 150                       | 0                   
Organic Chemistry                                            | Chemistry                      | john doe                       | Room 151                       | 0                   
Inorganic Chemistry                                          | Chemistry                      | Jane Smith                     | Room 152                       | 0                   
Physical Chemistry                                           | Chemistry                      | Michael Johnson                | Room 153                       | 0                   
Analytical Chemistry                                         | Chemistry                      | Emily Brown                    | Room 154                       | 0                   
Biochemistry                                                 | Chemistry                      | David Wilson                   | Room 155                       | 0                   
Polymer Chemistry                                            | Chemistry                      | Jennifer Lee                   | Room 156                       | 0                   
Environmental Chemistry                                      | Chemistry                      | Christopher Taylor             | Room 157                       | 0                   
Medicinal Chemistry                                          | Chemistry                      | Sarah Martinez                 | Room 158                       | 0                   
Forensic Chemistry                                           | Chemistry                      | Daniel Anderson                | Room 159                       | 0                   
Nanochemistry                                                | Chemistry                      | Amanda White                   | Room 160                       | 0                   
Calculus                                                     | Mathematics                    | john doe                       | Room 161                       | 0                   
Linear Algebra                                               | Mathematics                    | Jane Smith                     | Room 162                       | 0                   
Differential Equations                                       | Mathematics                    | Michael Johnson                | Room 163                       | 0                   
Probability Theory                                           | Mathematics                    | Emily Brown                    | Room 164                       | 0                   
Statistics                                                   | Mathematics                    | David Wilson                   | Room 165                       | 0                   
Numerical Analysis                                           | Mathematics                    | Jennifer Lee                   | Room 166                       | 0                   
Mathematical Modeling                                        | Mathematics                    | Christopher Taylor             | Room 167                       | 0                   
Operations Research                                          | Mathematics                    | Sarah Martinez                 | Room 168                       | 0                   
Discrete Mathematics                                         | Mathematics                    | Daniel Anderson                | Room 169                       | 0                   
Topology                                                     | Mathematics                    | Amanda White                   | Room 170                       | 0                   
English Literature: From Chaucer to Milton                   | English Literature             | john doe                       | Room 171                       | 0                   
Romanticism and Victorian Literature                         | English Literature             | Jane Smith                     | Room 172                       | 0                   
Modernism and Postmodernism                                  | English Literature             | Michael Johnson                | Room 173                       | 0                   
American Literature                                          | English Literature             | Emily Brown                    | Room 174                       | 0                   
World Literature                                             | English Literature             | David Wilson                   | Room 175                       | 0                   
Shakespearean Studies                                        | English Literature             | Jennifer Lee                   | Room 176                       | 0                   
Poetry and Poetics                                           | English Literature             | Christopher Taylor             | Room 177                       | 0                   
Drama and Performance                                        | English Literature             | Sarah Martinez                 | Room 178                       | 0                   
Fiction and Narrative                                        | English Literature             | Daniel Anderson                | Room 179                       | 0                   
Literary Theory                                              | English Literature             | Amanda White                   | Room 180                       | 0                   
World History                                                | History                        | john doe                       | Room 181                       | 0                   
European History                                             | History                        | Jane Smith                     | Room 182                       | 0                   
Asian History                                                | History                        | Michael Johnson                | Room 183                       | 0                   
African History                                              | History                        | Emily Brown                    | Room 184                       | 0                   
Middle Eastern History                                       | History                        | David Wilson                   | Room 185                       | 0                   
Latin American History                                       | History                        | Jennifer Lee                   | Room 186                       | 0                   
North American History                                       | History                        | Christopher Taylor             | Room 187                       | 0                   
South American History                                       | History                        | Sarah Martinez                 | Room 188                       | 0                   
Medieval History                                             | History                        | Daniel Anderson                | Room 189                       | 0                   
Renaissance History                                          | History                        | Amanda White                   | Room 190                       | 0                   
Cognitive Psychology                                         | Psychology                     | john doe                       | Room 191                       | 0                   
Social Psychology                                            | Psychology                     | Jane Smith                     | Room 192                       | 0                   
Developmental Psychology                                     | Psychology                     | Michael Johnson                | Room 193                       | 0                   
Abnormal Psychology                                          | Psychology                     | Emily Brown                    | Room 194                       | 0                   
Health Psychology                                            | Psychology                     | David Wilson                   | Room 195                       | 0                   
Industrial-Organizational Psychology                         | Psychology                     | Jennifer Lee                   | Room 196                       | 0                   
Educational Psychology                                       | Psychology                     | Christopher Taylor             | Room 197                       | 0                   
Experimental Psychology                                      | Psychology                     | Sarah Martinez                 | Room 198                       | 0                   
Clinical Psychology                                          | Psychology                     | Daniel Anderson                | Room 199                       | 0                   
Biopsychology                                                | Psychology                     | Amanda White                   | Room 200                       | 0                   
